,Location,xmin,xmax,ymin,ymax
0,USA,47,257,387,496
1,Brazil,333,433,655,737
2,Russia,806,1226.0,177,331.0
3,Spain,576,609.0,426,459.0
4,UK,564,624.0,313,374.0
5,India,934,997,512.0,579
6,Italy,647,680.0,412,450.0
7,Germany,635,663.0,358,389.0
8,Peru,249,280.0,663,708.0
9,Turkey,738,803.0,438,456.0
10,Iran,821,875.0,466,510.0
11,France,594,636.0,381,419.0
12,Chile,257,296.0,739,790.0
13,Mexico,112,165.0,503,559.0
14,Saudi Arabia,777,841.0,503,553.0
15,Canada,19,204.0,223,376.0
16,Pakistan,890,925.0,500,520.0
17,Qatar,842,846.0,520,530.0
18,Bangladesh,1008,1019.0,524,540.0
19,Belgium,621,630.0,373,381.0
20,Netherlands,627,634.0,356,364.0
21,Belarus,715,749.0,341,365.0
22,Sweden,672,702.0,217,286.0
23,South Africa,676,749.0,770,803.0
24,UAE,846,857.0,524,530.0
25,Colombia,251,297,607,642
26,Portugal,566,573.0,434,456.0
27,Egypt,721,758.0,501,535.0
28,Indonesia,1106,1165.0,622,661.0
29,Ukraine,717,777.0,373,393.0
30,Poland,681,710.0,352,373.0
31,Philippines,1135,1192.0,563,607.0
32,Argentina,289,331.0,780,850.0
33,Afghanistan,890,921.0,465,490.0
34,Japan,1208,1254.0,435,482.0
35,Oman,852,882.0,531,558.0
36,Kazakhstan,848,969.0,366,413.0
37,Bolivia,295,334.0,699,735.0
38,Denmark,630,676.0,325,346.0
39,S. Korea,1182,1193.0,458,473.0
40,Nigeria,624,665.0,586,608.0
41,Algeria,581,649.0,484,534.0
42,Iraq,786,812.0,467,492.0
43,Ghana,596,607.0,594,616.0
44,Norway,626,663.0,272,304.0
45,Malaysia,1049,1092.0,597,647.0
46,Morocco,557,599.0,472,497.0
47,Cameroon,640,675.0,611,626.0
48,Australia,1130,1304.0,712,796.0
49,Finland,704,742.0,238,284.0
50,Sudan,715,770.0,545,590.0
51,Tajikistan,919,940.0,446,455.0
52,Senegal,519,557.0,566,577.0
53,Uzbekistan,876,907.0,424,437.0
54,Hungary,670,706.0,391,405.0
55,Thailand,1047,1086.0,563,578.0
56,Greece,698,730.0,443,462.0
57,Nepal,974,1000.0,501,514.0
58,Kenya,766,792.0,624,649.0
59,Somalia,805,840.0,605,627.0
60,Venezuela,286,331.0,594,617.0
61,Kyrgyzstan,934,954.0,428,439.0
62,Maldives,917,960.0,618,634.0
63,Iceland,504,545.0,243,265.0
64,Sri Lanka,949,995.0,598,614.0
65,New Zealand,1346,1425.0,800,860.0
66,Tunisia,635,669.0,464,489.0
67,Paraguay,318,356.0,738,758.0
68,South Sudan,715,772.0,598,617.0
69,Niger,626,671.0,545,573.0
70,Uruguay,341,371.0,791,807.0
71,Chad,677,709.0,546,594.0
72,Mauritania,532,580.0,534,559.0
73,Tanzania,744,787.0,656,686.0
74,Mozambique,734,792.0,716,743.0
75,Myanmar,1023,1060.0,522,561.0
76,Libya,654,716.0,500,534.0
77,Angola,672,706.0,681,717.0
78,Botswana,700,735.0,731,754.0
79,Greenland,362,490.0,57,181.0
80,Papua New Guinea,1226,1296.0,649,686.0
81,China,975,1148.0,436,509.0
82,Cuba,235,265.0,526,549.0
83,Ethiopia,778,800.0,584,616.0
84,DRC,685,734.0,630,666.0
85,Yemen,803,844.0,562,578.0
86,Mongolia,1019,1124.0,381,420.0
87,Zambia,712,746,697,716
